Product name ,Component ,Aluminum,Copper ,Steel ,Plastic ,Li-ion battery,PCB ,Flat panel glass,CRT glass ,Other glass,Other metals,Others,Total mass (g),Category
Nokia 5165 (1998),Display,1.7,,,1.7,,,4.8,,,,,8.2,BASIC MOBILE PHONE
Nokia 5165 (1998),Main body,,,2.2,45.7,73.3,42.6,,,,,1.1,164.9,BASIC MOBILE PHONE
Sanyo SCP 4000 (1999),Display,,,,,,,5.7,,,,,5.7,BASIC MOBILE PHONE
Sanyo SCP 4000 (1999),Main body,,,2.9,30.3,47.6,30.6,,,,,7.5,118.9,BASIC MOBILE PHONE
LG VX 3200 (2004),Display,,,,2.2,,,3.7,,,,,5.9,BASIC MOBILE PHONE
LG VX 3200 (2004),Main body,,6.5,0.4,36.7,22.7,17.6,,,,,5.8,89.7,BASIC MOBILE PHONE
Mototrola V276 (2004),Display,0.2,,,3.5,,2.7,5.0,,,,,11.4,BASIC MOBILE PHONE
Mototrola V276 (2004),Main body,7.0,5.4,0.6,37.7,23.1,16.7,,,,,8.1,98.6,BASIC MOBILE PHONE
LG VX5200 (2005),Display,1.5,,,2.6,,1.8,5.4,,,,,11.3,BASIC MOBILE PHONE
LG VX5200 (2005),Main body,0.5,5.0,0.3,37.3,21.6,13.4,,,,,8.9,87.0,BASIC MOBILE PHONE
Motorola RAZR V3c (2005),Display,,,,,,,15.2,,,,,15.2,BASIC MOBILE PHONE
Motorola RAZR V3c (2005),Main body,27.6,,0.6,16.7,19.6,11.6,,,,,8.9,85.0,BASIC MOBILE PHONE
LG enV VX9100 (2008),Display,,,,,,,13.7,,,,,13.7,BASIC MOBILE PHONE
LG enV VX9100 (2008),Main body,13.1,,0.7,41.7,23.7,24.2,,,,,7.6,111.0,BASIC MOBILE PHONE
LG VX 8360 (2009),Display,,,,,,,10.4,,,,,10.4,BASIC MOBILE PHONE
LG VX 8360 (2009),Main body,3.0,1.7,0.3,39.9,20.5,14.4,,,,,5.2,85.0,BASIC MOBILE PHONE
LG VN 530 Octane (2010),Display,,,,,,,19.0,,,,,19.0,BASIC MOBILE PHONE
LG VN 530 Octane (2010),Main body,,,3.0,55.6,21.0,22.1,,,,,6.1,107.8,BASIC MOBILE PHONE
Samsung BD P1000 (2006),Case ,26.5,,"1,976.5",315.4,,,,,,,,"2,318.4",BLU-RAY PLAYER
Samsung BD P1000 (2006),Disk drive ,,133.0,625.5,178.7,,84.8,,,,,55.2,"1,077.2",BLU-RAY PLAYER
Samsung BD P1000 (2006),Interior modules,,28.6,4.9,55.6,,952.6,,,22.2,,,"1,063.9",BLU-RAY PLAYER
Samsung BD P1400 (2007),Case ,,,"1,890.0",276.4,,,,,,,,"2,166.4",BLU-RAY PLAYER
Samsung BD P1400 (2007),Disk drive ,,18.3,654.3,178.4,,78.2,,,,,58.5,987.7,BLU-RAY PLAYER
Samsung BD P1400 (2007),Interior modules,,101.7,148.1,46.8,,532.0,,,25.0,,,853.6,BLU-RAY PLAYER
Toshiba BDK33KU (approx. 2012),Case ,,,455.0,80.0,,,,,,,,535.0,BLU-RAY PLAYER
Toshiba BDK33KU (approx. 2012),Disk drive ,,4.8,67.2,137.6,,0.8,,,,,2.9,213.3,BLU-RAY PLAYER
Toshiba BDK33KU (approx. 2012),Interior modules,,33.2,6.1,55.5,,140.0,,,,,,234.8,BLU-RAY PLAYER
CRT monitor (unknown model) (1997),Cabinet,,,,"2,480.0",,,,,,,,"2,480.0",CRT MONITOR
CRT monitor (unknown model) (1997),Display ,,,,,,,,"7,749.0",,,,"7,749.0",CRT MONITOR
CRT monitor (unknown model) (1997),Electrolytic capacitors,61.1,61.1,,,,,,,,,30.6,152.8,CRT MONITOR
CRT monitor (unknown model) (1997),Frame,,,439.0,,,,,,,,,439.0,CRT MONITOR
CRT monitor (unknown model) (1997),Heat sink ,281.0,,,,,,,,,,,281.0,CRT MONITOR
CRT monitor (unknown model) (1997),ICs,,,,,,13.9,,,,,,13.9,CRT MONITOR
CRT monitor (unknown model) (1997),Inductor coils,,37.5,37.5,18.8,,,,,,,,93.8,CRT MONITOR
CRT monitor (unknown model) (1997),monitor cable ,,217.8,,72.6,,,,,,,,290.4,CRT MONITOR
CRT monitor (unknown model) (1997),Motherboard ,,,105.2,,,645.5,,,,,,750.7,CRT MONITOR
CRT monitor (unknown model) (1997),Socket ,,,,338.4,,,,,,,,338.4,CRT MONITOR
CRT monitor (unknown model) (1997),Transformers,,254.7,254.7,,,,,,,,,509.4,CRT MONITOR
"CRT TV 29"" (unknown model and year)",Chasis ,,7.0,60.0,"4,600.0",,,,,,673.0,,"5,340.0",CRT TV
"CRT TV 29"" (unknown model and year)",Display ,,"1,745.0","4,046.0",421.0,,28.0,,"27,360.4",,93.0,3.0,"33,696.4",CRT TV
"CRT TV 29"" (unknown model and year)",Motherboard ,321.0,,66.0,2.0,,349.0,,,,886.8,98.0,"1,722.8",CRT TV
"CRT TV 29"" (unknown model and year)",Power supply unit ,,,,,,38.0,,,,372.7,2.0,412.7,CRT TV
"CRT TV 29"" (unknown model and year)",Remote,,,2.0,72.0,,14.0,,,,36.2,17.2,141.4,CRT TV
"CRT TV 29"" (unknown model and year)",Other components*,,53.0,58.0,75.0,,,,,,1.0,17.0,204.0,CRT TV
RCA DVD/CD player (approx. 2004),Case,,,"2,103.1",276.9,,,,,,,0.9,"2,380.8",DVD PLAYER
RCA DVD/CD player (approx. 2004),DVD drive,,9.6,200.6,779.1,,45.0,,,,,0.8,"1,035.1",DVD PLAYER
